,human,machine
2422,14 october 1982,1982-10-14
2423,sunday december 7 2014,2014-12-07
2424,4/9/87,1987-04-09
2425,16 may 1996,1996-05-16
2426,28 sep 1992,1992-09-28
2427,1 november 2001,2001-11-01
2428,friday july 8 1988,1988-07-08
2429,14 07 08,2008-07-14
2430,saturday october 23 1993,1993-10-23
2431,9/22/75,1975-09-22
2432,6 february 2013,2013-02-06
2433,friday november 28 1997,1997-11-28
2434,29.11.87,1987-11-29
2435,monday september 6 1993,1993-09-06
2436,7 05 90,1990-05-07
2437,thursday march 3 2005,2005-03-03
2438,31 dec 2007,2007-12-31
2439,sunday january 22 2017,2017-01-22
2440,friday february 17 1989,1989-02-17
2441,feb 18 1992,1992-02-18
2442,saturday january 27 1996,1996-01-27
2443,july 19 2003,2003-07-19
2444,26.10.88,1988-10-26
2445,31.07.74,1974-07-31
2446,wednesday july 11 1984,1984-07-11
2447,august 14 2001,2001-08-14
2448,jul 2 2005,2005-07-02
2449,24 may 1980,1980-05-24
2450,saturday december 4 2004,2004-12-04
2451,17 apr 2007,2007-04-17
2452,2 february 1984,1984-02-02
2453,22 july 2005,2005-07-22
2454,thursday november 8 2012,2012-11-08
2455,friday october 23 1987,1987-10-23
2456,saturday february 21 1987,1987-02-21
2457,12 february 1992,1992-02-12
2458,17 apr 1993,1993-04-17
2459,sunday november 8 1970,1970-11-08
2460,sunday november 1 1987,1987-11-01
2461,20 aug 1997,1997-08-20
2462,monday may 14 2012,2012-05-14
2463,thursday january 28 1982,1982-01-28
2464,sunday february 8 1987,1987-02-08
2465,31 march 1971,1971-03-31
2466,15 jun 1997,1997-06-15
2467,tuesday november 6 1973,1973-11-06
2468,friday december 21 2001,2001-12-21
2469,5 october 1977,1977-10-05
2470,saturday january 31 1970,1970-01-31
2471,2/3/83,1983-02-03
2472,wednesday may 26 2010,2010-05-26
2473,thursday april 22 2010,2010-04-22
2474,november 1 1996,1996-11-01
2475,sunday march 27 2005,2005-03-27
2476,friday january 25 1980,1980-01-25
2477,thursday february 8 1979,1979-02-08
2478,wednesday february 17 1993,1993-02-17
2479,24 nov 1985,1985-11-24
2480,08 sep 2000,2000-09-08
2481,25 jun 1997,1997-06-25
2482,monday may 26 1980,1980-05-26
2483,thursday september 10 1970,1970-09-10
2484,monday november 17 1980,1980-11-17
2485,25 april 1975,1975-04-25
2486,jul 12 1998,1998-07-12
2487,thursday june 16 1994,1994-06-16
2488,february 10 2008,2008-02-10
2489,thursday april 7 2016,2016-04-07
2490,monday october 4 1971,1971-10-04
2491,21 feb 1996,1996-02-21
2492,wednesday march 29 2000,2000-03-29
2493,18 march 2001,2001-03-18
2494,1 jun 2013,2013-06-01
2495,19.12.82,1982-12-19
2496,sunday december 30 1984,1984-12-30
2497,tuesday march 14 2006,2006-03-14
2498,wednesday february 12 1992,1992-02-12
2499,2 december 2011,2011-12-02
2500,november 27 1992,1992-11-27
2501,friday september 18 1981,1981-09-18
2502,sunday september 26 1971,1971-09-26
2503,21 jan 2014,2014-01-21
2504,saturday september 2 2017,2017-09-02
2505,sunday march 18 1979,1979-03-18
2506,thursday october 28 1999,1999-10-28
2507,february 6 1998,1998-02-06
2508,wednesday june 6 1984,1984-06-06
2509,sunday march 21 1971,1971-03-21
2510,15 jan 1990,1990-01-15
2511,monday november 5 1979,1979-11-05
2512,1 november 1975,1975-11-01
2513,14.10.04,2004-10-14
2514,15 aug 1977,1977-08-15
2515,sunday november 2 1975,1975-11-02
2516,19 jun 1984,1984-06-19
2517,jun 15 1977,1977-06-15
2518,monday march 1 1999,1999-03-01
2519,june 15 2017,2017-06-15
2520,27 06 92,1992-06-27
2521,mar 2 1978,1978-03-02
2522,saturday april 5 2008,2008-04-05
2523,thursday january 5 2017,2017-01-05
2524,wednesday august 19 1998,1998-08-19
2525,6 january 2006,2006-01-06
2526,23.05.73,1973-05-23
2527,26 january 2013,2013-01-26
2528,friday april 3 1981,1981-04-03
2529,sunday october 17 1999,1999-10-17
2530,3 march 1986,1986-03-03
2531,sunday january 31 2010,2010-01-31
2532,sunday december 9 1979,1979-12-09
2533,07.09.15,2015-09-07
2534,14.02.81,1981-02-14
2535,august 6 2007,2007-08-06
2536,10 february 2011,2011-02-10
2537,20 10 72,1972-10-20
2538,sunday january 5 1986,1986-01-05
2539,19 11 77,1977-11-19
2540,05 aug 1992,1992-08-05
2541,friday october 29 2004,2004-10-29
2542,12 07 88,1988-07-12
2543,aug 19 1981,1981-08-19
2544,thursday january 28 1988,1988-01-28
2545,apr 30 2012,2012-04-30
2546,10 dec 1980,1980-12-10
2547,20 oct 1979,1979-10-20
2548,15 september 1990,1990-09-15
2549,20 aug 1976,1976-08-20
2550,thursday september 7 1989,1989-09-07
2551,monday september 10 2007,2007-09-10
2552,thursday march 2 1995,1995-03-02
2553,11 jul 2001,2001-07-11
2554,saturday march 4 1978,1978-03-04
2555,28 august 1974,1974-08-28
2556,wednesday april 15 1987,1987-04-15
2557,dec 25 2006,2006-12-25
2558,16 nov 1981,1981-11-16
2559,11 february 2018,2018-02-11
2560,wednesday august 10 1988,1988-08-10
2561,thursday march 13 2014,2014-03-13
2562,thursday march 15 2007,2007-03-15
2563,sunday september 4 2011,2011-09-04
2564,september 8 1996,1996-09-08
2565,tuesday april 7 1987,1987-04-07
2566,25 march 1989,1989-03-25
2567,may 4 1977,1977-05-04
2568,may 6 1978,1978-05-06
2569,thursday january 15 1970,1970-01-15
2570,14 11 15,2015-11-14
2571,19 august 2009,2009-08-19
2572,sep 30 2014,2014-09-30
2573,1 aug 1981,1981-08-01
2574,monday september 16 1985,1985-09-16
2575,friday july 10 1987,1987-07-10
2576,thursday february 24 1972,1972-02-24
2577,10/24/08,2008-10-24
2578,sunday august 17 2003,2003-08-17
2579,saturday december 29 2012,2012-12-29
2580,friday june 15 2001,2001-06-15
2581,22 apr 1970,1970-04-22
2582,30 jan 1987,1987-01-30
2583,2/26/01,2001-02-26
2584,wednesday july 11 1973,1973-07-11
2585,30 jul 1973,1973-07-30
2586,saturday september 6 1975,1975-09-06
2587,friday december 29 1995,1995-12-29
2588,saturday august 21 1971,1971-08-21
2589,tuesday february 28 1984,1984-02-28
2590,wednesday january 26 2000,2000-01-26
2591,friday november 6 1987,1987-11-06
2592,thursday february 9 2006,2006-02-09
2593,31 march 1986,1986-03-31
2594,monday may 19 1980,1980-05-19
2595,august 10 2009,2009-08-10
2596,monday september 14 1970,1970-09-14
2597,sunday may 11 1997,1997-05-11
2598,friday may 29 1981,1981-05-29
2599,tuesday february 24 1998,1998-02-24
2600,july 9 2017,2017-07-09
2601,5/24/02,2002-05-24
2602,dec 7 2007,2007-12-07
2603,14 sep 1984,1984-09-14
2604,saturday april 4 1998,1998-04-04
2605,sunday october 13 1985,1985-10-13
2606,july 19 2002,2002-07-19
2607,24.07.88,1988-07-24
2608,19 jul 1993,1993-07-19
2609,11 august 1983,1983-08-11
2610,27 march 2017,2017-03-27
2611,04 apr 1991,1991-04-04
2612,tuesday october 16 2007,2007-10-16
2613,18 mar 2014,2014-03-18
2614,sunday august 9 1981,1981-08-09
2615,17 april 2003,2003-04-17
2616,22 jul 2004,2004-07-22
2617,18 october 2009,2009-10-18
2618,saturday june 2 1990,1990-06-02
2619,24 november 1978,1978-11-24
2620,22 mar 1979,1979-03-22
2621,oct 29 1970,1970-10-29
2622,27.10.07,2007-10-27
2623,wednesday february 23 1972,1972-02-23
2624,jun 26 2016,2016-06-26
2625,thursday january 28 1999,1999-01-28
2626,8 jan 2006,2006-01-08
2627,friday february 23 1996,1996-02-23
2628,saturday november 11 2006,2006-11-11
2629,monday november 5 1990,1990-11-05
2630,23 may 1989,1989-05-23
2631,october 23 1974,1974-10-23
2632,friday march 31 1972,1972-03-31
2633,monday january 31 1977,1977-01-31
2634,tuesday march 20 2001,2001-03-20
2635,24.02.89,1989-02-24
2636,february 21 1989,1989-02-21
2637,13 02 93,1993-02-13
2638,september 9 2015,2015-09-09
2639,18 nov 1978,1978-11-18
2640,sunday july 1 1979,1979-07-01
2641,friday september 9 1983,1983-09-09
2642,22 07 14,2014-07-22
2643,october 7 1994,1994-10-07
2644,08 may 2015,2015-05-08
2645,15.05.81,1981-05-15
2646,07 sep 1986,1986-09-07
2647,tuesday february 1 2000,2000-02-01
2648,march 8 2014,2014-03-08
2649,17 12 94,1994-12-17
2650,monday july 24 1972,1972-07-24
2651,friday march 10 1995,1995-03-10
2652,friday august 31 1973,1973-08-31
2653,3/1/87,1987-03-01
2654,saturday march 16 2013,2013-03-16
2655,saturday august 30 2014,2014-08-30
2656,friday december 9 1977,1977-12-09
2657,wednesday march 26 2003,2003-03-26
2658,wednesday february 22 1984,1984-02-22
2659,01 dec 1988,1988-12-01
2660,28 nov 1983,1983-11-28
2661,18 dec 1992,1992-12-18
2662,22 aug 1990,1990-08-22
2663,wednesday september 28 2005,2005-09-28
2664,19 07 07,2007-07-19
2665,friday july 26 1991,1991-07-26
2666,5 jun 2010,2010-06-05
2667,2 december 1995,1995-12-02
2668,13 june 2001,2001-06-13
2669,07 feb 1996,1996-02-07
2670,tuesday february 9 1982,1982-02-09
2671,tuesday march 15 1988,1988-03-15
2672,tuesday november 3 1987,1987-11-03
2673,friday february 16 1990,1990-02-16
2674,10 january 1984,1984-01-10
2675,sunday may 14 2006,2006-05-14
2676,october 21 1996,1996-10-21
2677,tuesday june 23 1970,1970-06-23
2678,sunday august 11 2013,2013-08-11
2679,wednesday february 21 2001,2001-02-21
2680,sep 8 1983,1983-09-08
2681,january 26 1981,1981-01-26
2682,jan 24 2015,2015-01-24
2683,sunday december 17 1989,1989-12-17
2684,wednesday september 22 2010,2010-09-22
2685,12 may 1974,1974-05-12
2686,march 17 1979,1979-03-17
2687,monday june 27 1977,1977-06-27
2688,december 3 2013,2013-12-03
2689,monday july 5 1993,1993-07-05
2690,29 oct 1986,1986-10-29
2691,thursday november 26 1998,1998-11-26
2692,24 january 1985,1985-01-24
2693,december 1 2011,2011-12-01
2694,friday august 8 2014,2014-08-08
2695,15 nov 2010,2010-11-15
2696,wednesday august 10 1983,1983-08-10
2697,15 june 2002,2002-06-15
2698,february 26 1974,1974-02-26
2699,24 november 2012,2012-11-24
2700,august 24 2007,2007-08-24
2701,october 23 2010,2010-10-23
2702,13 apr 1984,1984-04-13
2703,march 30 1983,1983-03-30
2704,14 jun 2016,2016-06-14
2705,25 november 1982,1982-11-25
2706,19 jun 1981,1981-06-19
2707,26 aug 1989,1989-08-26
2708,saturday april 28 2012,2012-04-28
2709,wednesday june 4 1997,1997-06-04
2710,july 3 1970,1970-07-03
2711,16 dec 1980,1980-12-16
2712,13 oct 2013,2013-10-13
2713,monday august 11 1997,1997-08-11
2714,4 november 2001,2001-11-04
2715,29 mar 1982,1982-03-29
2716,monday may 4 2015,2015-05-04
2717,tuesday july 16 1985,1985-07-16
2718,10/30/85,1985-10-30
2719,june 7 1999,1999-06-07
2720,friday january 4 1985,1985-01-04
2721,saturday august 5 2000,2000-08-05
2722,wednesday september 20 1989,1989-09-20
2723,wednesday december 18 1991,1991-12-18
2724,sunday february 19 2012,2012-02-19
2725,01.06.04,2004-06-01
2726,8 dec 2016,2016-12-08
2727,thursday april 19 2012,2012-04-19
2728,17 jan 1974,1974-01-17
2729,saturday september 3 2011,2011-09-03
2730,9/14/16,2016-09-14
2731,wednesday april 1 2015,2015-04-01
2732,monday february 25 1974,1974-02-25
2733,thursday april 1 1999,1999-04-01
2734,tuesday september 20 1994,1994-09-20
2735,saturday august 28 1999,1999-08-28
2736,saturday july 5 1980,1980-07-05
2737,17 apr 2015,2015-04-17
2738,wednesday july 12 1978,1978-07-12
2739,october 2 1977,1977-10-02
2740,september 24 2015,2015-09-24
2741,17.11.89,1989-11-17
2742,21 jun 2009,2009-06-21
2743,25 april 1988,1988-04-25
2744,tuesday january 20 2009,2009-01-20
2745,friday may 11 2012,2012-05-11
2746,wednesday may 30 2012,2012-05-30
2747,may 9 1976,1976-05-09
2748,july 12 1984,1984-07-12
2749,sunday october 31 2010,2010-10-31
2750,july 5 1983,1983-07-05
2751,4 january 2009,2009-01-04
2752,wednesday may 30 1979,1979-05-30
2753,thursday october 4 2012,2012-10-04
2754,february 3 2018,2018-02-03
2755,6 january 1995,1995-01-06
2756,8 08 99,1999-08-08
2757,nov 4 1975,1975-11-04
2758,11 january 2004,2004-01-11
2759,sunday february 25 2001,2001-02-25
2760,2 july 2012,2012-07-02
2761,01.09.72,1972-09-01
2762,sunday march 24 1991,1991-03-24
2763,september 1 2003,2003-09-01
2764,july 30 2016,2016-07-30
2765,22 sep 2009,2009-09-22
2766,1/28/00,2000-01-28
2767,sunday december 4 2011,2011-12-04
2768,6 february 2011,2011-02-06
2769,monday june 7 1993,1993-06-07
2770,25 june 2014,2014-06-25
2771,27 jun 1975,1975-06-27
2772,6 sep 1985,1985-09-06
2773,january 31 1979,1979-01-31
2774,11 jul 1986,1986-07-11
2775,27.07.94,1994-07-27
2776,monday august 27 1973,1973-08-27
2777,11 feb 1984,1984-02-11
2778,july 2 2008,2008-07-02
2779,monday august 31 1987,1987-08-31
2780,tuesday july 23 2013,2013-07-23
2781,17 november 1973,1973-11-17
2782,monday august 3 2009,2009-08-03
2783,thursday april 20 2006,2006-04-20
2784,sunday december 30 1990,1990-12-30
2785,tuesday june 7 2005,2005-06-07
2786,10 march 2009,2009-03-10
2787,sunday april 9 1978,1978-04-09
2788,september 8 2005,2005-09-08
2789,tuesday april 22 1986,1986-04-22
2790,friday october 8 1993,1993-10-08
2791,thursday april 11 1996,1996-04-11
2792,wednesday may 27 1981,1981-05-27
2793,15 feb 2003,2003-02-15
2794,monday january 4 2010,2010-01-04
2795,6/6/99,1999-06-06
2796,sunday march 23 1997,1997-03-23
2797,thursday december 13 2007,2007-12-13
2798,monday july 25 2005,2005-07-25
2799,10 december 1997,1997-12-10
2800,august 29 1997,1997-08-29
2801,jul 6 2011,2011-07-06
2802,july 24 1994,1994-07-24
2803,december 26 1976,1976-12-26
2804,tuesday may 6 1980,1980-05-06
2805,13 apr 2012,2012-04-13
2806,10/10/76,1976-10-10
2807,24 aug 1982,1982-08-24
2808,8/9/86,1986-08-09
2809,friday january 8 1993,1993-01-08
2810,thursday july 18 1991,1991-07-18
2811,sunday november 30 1975,1975-11-30
2812,saturday may 20 1989,1989-05-20
2813,tuesday november 28 1989,1989-11-28
2814,30 oct 2005,2005-10-30
2815,29 11 95,1995-11-29
2816,1 mar 2016,2016-03-01
2817,thursday november 14 2002,2002-11-14
2818,03.10.03,2003-10-03
2819,thursday january 18 2007,2007-01-18
2820,sunday june 20 1999,1999-06-20
2821,friday march 20 1998,1998-03-20
2822,tuesday june 5 2001,2001-06-05
2823,tuesday november 17 2015,2015-11-17
2824,wednesday december 23 1998,1998-12-23
2825,23 september 1983,1983-09-23
2826,march 20 1977,1977-03-20
2827,thursday november 21 2002,2002-11-21
2828,monday april 27 1970,1970-04-27
2829,friday may 18 1984,1984-05-18
2830,3 01 97,1997-01-03
2831,january 4 1996,1996-01-04
2832,27 october 2011,2011-10-27
2833,thursday november 19 1981,1981-11-19
2834,november 17 1980,1980-11-17
2835,monday september 13 1982,1982-09-13
2836,19 03 78,1978-03-19
2837,22 september 2013,2013-09-22
2838,feb 23 2008,2008-02-23
2839,14 jan 1976,1976-01-14
2840,march 19 1987,1987-03-19
2841,tuesday may 12 1987,1987-05-12
2842,april 17 1985,1985-04-17
2843,wednesday july 18 1990,1990-07-18
2844,sep 1 1989,1989-09-01
2845,18 may 2005,2005-05-18
2846,14 may 2013,2013-05-14
2847,24.06.99,1999-06-24
2848,11 january 2011,2011-01-11
2849,wednesday november 11 2009,2009-11-11
2850,july 25 1994,1994-07-25
2851,21 may 2015,2015-05-21
2852,thursday may 9 2013,2013-05-09
2853,friday july 20 1990,1990-07-20
2854,27 apr 1996,1996-04-27
2855,wednesday october 23 1996,1996-10-23
2856,monday march 10 1975,1975-03-10
2857,thursday december 13 1973,1973-12-13
2858,aug 25 2002,2002-08-25
2859,6 october 2015,2015-10-06
2860,10 june 1974,1974-06-10
2861,january 14 2013,2013-01-14
2862,friday july 17 1981,1981-07-17
2863,12 jan 1992,1992-01-12
2864,november 2 1997,1997-11-02
2865,8/12/78,1978-08-12
2866,thursday october 2 2014,2014-10-02
2867,friday july 22 1994,1994-07-22
2868,tuesday july 24 1984,1984-07-24
2869,sunday august 27 2017,2017-08-27
2870,tuesday may 5 1987,1987-05-05
2871,20.08.89,1989-08-20
2872,31 mar 1972,1972-03-31
2873,wednesday september 7 1983,1983-09-07
2874,thursday february 1 1979,1979-02-01
2875,23.11.10,2010-11-23
2876,saturday august 21 1982,1982-08-21
2877,september 2 1975,1975-09-02
2878,wednesday june 5 1985,1985-06-05
2879,24 april 1991,1991-04-24
2880,25.04.74,1974-04-25
2881,27 june 1985,1985-06-27
2882,thursday october 13 1994,1994-10-13
2883,nov 28 2015,2015-11-28
2884,9 april 2004,2004-04-09
2885,6 november 2016,2016-11-06
2886,08 jun 1993,1993-06-08
2887,06 oct 2008,2008-10-06
2888,29 march 2013,2013-03-29
2889,sunday august 25 1985,1985-08-25
2890,wednesday june 13 2012,2012-06-13
2891,12 december 1995,1995-12-12
2892,9 oct 1997,1997-10-09
2893,january 21 2013,2013-01-21
2894,saturday april 7 2012,2012-04-07
2895,april 3 1989,1989-04-03
2896,12 may 1994,1994-05-12
2897,saturday january 6 1979,1979-01-06
2898,july 12 1993,1993-07-12
2899,5 11 82,1982-11-05
2900,sunday january 24 2016,2016-01-24
2901,jul 17 1978,1978-07-17
2902,7/9/10,2010-07-09
2903,8/31/99,1999-08-31
2904,april 5 2015,2015-04-05
2905,2/3/70,1970-02-03
2906,30 may 1970,1970-05-30
2907,november 20 1991,1991-11-20
2908,sunday september 7 1975,1975-09-07
2909,january 1 1994,1994-01-01
2910,20 july 1986,1986-07-20
2911,sunday january 26 1986,1986-01-26
2912,thursday september 27 1973,1973-09-27
2913,17.11.13,2013-11-17
2914,wednesday july 21 1982,1982-07-21
2915,20 may 1973,1973-05-20
2916,jan 18 1973,1973-01-18
2917,wednesday june 4 2003,2003-06-04
2918,24 september 1997,1997-09-24
2919,wednesday may 30 1973,1973-05-30
2920,march 11 1994,1994-03-11
2921,wednesday december 24 2008,2008-12-24
2922,tuesday may 6 2014,2014-05-06
2923,feb 20 1992,1992-02-20
2924,22 aug 2003,2003-08-22
2925,august 26 1976,1976-08-26
2926,february 20 1976,1976-02-20
2927,28 february 2011,2011-02-28
2928,tuesday september 14 1993,1993-09-14
2929,july 29 1986,1986-07-29
2930,sunday december 14 1975,1975-12-14
2931,saturday january 7 2017,2017-01-07
2932,january 24 1976,1976-01-24
2933,monday december 11 2006,2006-12-11
2934,december 31 2005,2005-12-31
2935,sunday december 5 1999,1999-12-05
2936,tuesday june 20 1972,1972-06-20
2937,saturday may 14 1977,1977-05-14
2938,november 2 2002,2002-11-02
2939,december 28 1987,1987-12-28
2940,thursday august 9 1979,1979-08-09
2941,thursday december 17 2009,2009-12-17
2942,sunday september 3 1978,1978-09-03
2943,thursday november 5 2009,2009-11-05
2944,friday april 2 1999,1999-04-02
2945,jul 18 1975,1975-07-18
2946,jul 22 1993,1993-07-22
2947,october 9 2015,2015-10-09
2948,december 12 2007,2007-12-12
2949,18 july 1990,1990-07-18
2950,sunday march 4 1990,1990-03-04
2951,monday december 21 1992,1992-12-21
2952,aug 12 1986,1986-08-12
2953,10 february 1990,1990-02-10
2954,wednesday february 21 1996,1996-02-21
2955,saturday june 11 1988,1988-06-11
2956,sunday february 18 1979,1979-02-18
2957,30 03 88,1988-03-30
2958,oct 24 1983,1983-10-24
2959,10 july 1971,1971-07-10
2960,tuesday april 6 1971,1971-04-06
2961,november 3 1976,1976-11-03
2962,wednesday january 10 2007,2007-01-10
2963,10 may 1991,1991-05-10
2964,tuesday december 23 1986,1986-12-23
2965,28 jul 1989,1989-07-28
2966,11 feb 2001,2001-02-11
2967,february 6 2016,2016-02-06
2968,7/24/86,1986-07-24
2969,sunday september 20 2015,2015-09-20
2970,27 oct 2014,2014-10-27
2971,9 may 2010,2010-05-09
2972,1 may 1975,1975-05-01
2973,apr 7 2001,2001-04-07
2974,26 jan 1980,1980-01-26
2975,monday july 21 1997,1997-07-21
2976,monday march 17 1975,1975-03-17
2977,9/14/94,1994-09-14
2978,thursday november 25 2010,2010-11-25
2979,sunday november 21 1999,1999-11-21
2980,sunday june 6 1982,1982-06-06
2981,saturday november 28 1970,1970-11-28
2982,4 jun 1984,1984-06-04
2983,11.02.89,1989-02-11
2984,25 01 17,2017-01-25
2985,august 21 1991,1991-08-21
2986,friday january 5 1990,1990-01-05
2987,monday december 4 1972,1972-12-04
2988,sunday october 20 1974,1974-10-20
2989,23 05 04,2004-05-23
2990,27 mar 2007,2007-03-27
2991,10/4/79,1979-10-04
2992,10 october 2012,2012-10-10
2993,3 february 2016,2016-02-03
2994,24 march 2016,2016-03-24
2995,friday november 20 1987,1987-11-20
2996,15 march 1985,1985-03-15
2997,january 25 1989,1989-01-25
2998,september 4 1990,1990-09-04
2999,monday may 14 1984,1984-05-14
3000,25 feb 1974,1974-02-25
3001,3/11/11,2011-03-11
3002,tuesday february 21 1978,1978-02-21
3003,wednesday january 14 2004,2004-01-14
3004,february 3 1994,1994-02-03
3005,january 13 1974,1974-01-13
3006,31 march 1980,1980-03-31
3007,aug 1 1984,1984-08-01
3008,12 jul 2016,2016-07-12
3009,08 jun 1996,1996-06-08
3010,wednesday july 9 1997,1997-07-09
3011,29.04.01,2001-04-29
3012,wednesday december 18 1974,1974-12-18
3013,may 16 1997,1997-05-16
3014,thursday april 18 2002,2002-04-18
3015,05.04.75,1975-04-05
3016,september 27 1974,1974-09-27
3017,tuesday august 31 1999,1999-08-31
3018,12/16/73,1973-12-16
3019,sep 11 2000,2000-09-11
3020,thursday august 29 1996,1996-08-29
3021,june 28 1983,1983-06-28
3022,sunday june 27 1982,1982-06-27
3023,saturday june 18 1994,1994-06-18
3024,sunday august 31 1986,1986-08-31
3025,20 mar 2008,2008-03-20
3026,27 jan 1980,1980-01-27
3027,wednesday november 20 1985,1985-11-20
3028,21 jun 2004,2004-06-21
3029,21 may 1989,1989-05-21
3030,03 dec 1999,1999-12-03
3031,may 12 1973,1973-05-12
3032,jun 12 1989,1989-06-12
3033,sunday may 23 2004,2004-05-23
3034,september 30 2017,2017-09-30
3035,4 february 2014,2014-02-04
3036,21 apr 2016,2016-04-21
3037,september 28 1985,1985-09-28
3038,nov 1 1970,1970-11-01
3039,august 30 1991,1991-08-30
3040,wednesday april 5 2017,2017-04-05
3041,10 apr 2011,2011-04-10
3042,tuesday february 20 1996,1996-02-20
3043,monday october 27 1975,1975-10-27
3044,22 oct 2017,2017-10-22
3045,7 05 14,2014-05-07
3046,thursday february 22 2001,2001-02-22
3047,monday october 24 1994,1994-10-24
3048,sunday september 20 1970,1970-09-20
3049,saturday december 19 2009,2009-12-19
3050,thursday september 16 1993,1993-09-16
3051,may 30 1971,1971-05-30
3052,thursday february 25 1988,1988-02-25
3053,monday may 28 2012,2012-05-28
3054,25 may 1996,1996-05-25
3055,oct 12 2001,2001-10-12
3056,sunday may 4 1997,1997-05-04
3057,27 september 1988,1988-09-27
3058,sunday july 14 1991,1991-07-14
3059,11 february 1977,1977-02-11
3060,tuesday january 20 2009,2009-01-20
3061,monday december 16 1974,1974-12-16
3062,25 jun 1990,1990-06-25
3063,jul 5 1990,1990-07-05
3064,31 01 99,1999-01-31
3065,07.07.12,2012-07-07
3066,10/27/82,1982-10-27
3067,12/23/76,1976-12-23
3068,1 feb 1987,1987-02-01
3069,19 october 2002,2002-10-19
3070,23 april 2012,2012-04-23
3071,august 26 1992,1992-08-26
3072,13 jul 1994,1994-07-13
3073,friday september 12 1997,1997-09-12
3074,wednesday october 27 1982,1982-10-27
3075,wednesday september 3 1997,1997-09-03
3076,friday february 2 1996,1996-02-02
3077,20.03.81,1981-03-20
3078,monday january 9 2006,2006-01-09
3079,4 dec 1975,1975-12-04
3080,sunday october 5 1997,1997-10-05
3081,wednesday june 22 1977,1977-06-22
3082,13 oct 1990,1990-10-13
3083,monday june 1 1970,1970-06-01
3084,wednesday december 19 1973,1973-12-19
3085,27 january 1979,1979-01-27
3086,25 nov 1987,1987-11-25
3087,friday march 19 1971,1971-03-19
3088,sunday april 7 1985,1985-04-07
3089,jan 14 2013,2013-01-14
3090,20 oct 1992,1992-10-20
3091,august 31 1980,1980-08-31
3092,thursday january 11 1973,1973-01-11
3093,12/20/89,1989-12-20
3094,monday may 7 2007,2007-05-07
3095,26 december 1990,1990-12-26
3096,december 20 2016,2016-12-20
3097,thursday august 30 1990,1990-08-30
3098,15 jan 1991,1991-01-15
3099,sunday june 16 1974,1974-06-16
3100,dec 15 2017,2017-12-15
3101,26 10 80,1980-10-26
3102,27 sep 2001,2001-09-27
3103,friday july 11 1986,1986-07-11
3104,10/23/17,2017-10-23
3105,18 september 2009,2009-09-18
3106,saturday march 8 2003,2003-03-08
3107,12.10.87,1987-10-12
3108,monday april 11 2011,2011-04-11
3109,13 august 1973,1973-08-13
3110,18 march 2016,2016-03-18
3111,17 february 2003,2003-02-17
3112,friday november 7 1975,1975-11-07
3113,tuesday september 21 1976,1976-09-21
3114,12 august 1995,1995-08-12
3115,feb 3 1984,1984-02-03
3116,22 january 1994,1994-01-22
3117,09 dec 1988,1988-12-09
3118,tuesday january 1 1974,1974-01-01
3119,friday august 6 2004,2004-08-06
3120,august 27 1997,1997-08-27
3121,17 september 1979,1979-09-17
3122,thursday march 27 1975,1975-03-27
3123,monday november 9 2009,2009-11-09
3124,wednesday october 27 1976,1976-10-27
3125,friday may 21 1993,1993-05-21
3126,22 mar 1970,1970-03-22
3127,10.01.17,2017-01-10
3128,mar 6 1995,1995-03-06
3129,21 dec 1992,1992-12-21
3130,14 jan 1980,1980-01-14
3131,january 16 2008,2008-01-16
3132,friday september 15 2017,2017-09-15
3133,june 3 1970,1970-06-03
3134,17 september 1974,1974-09-17
3135,18 nov 2016,2016-11-18
3136,saturday february 28 1987,1987-02-28
3137,wednesday april 10 2002,2002-04-10
3138,sunday november 1 2009,2009-11-01
3139,29 february 1996,1996-02-29
3140,9 jan 2003,2003-01-09
3141,6/23/16,2016-06-23
3142,1 jul 1978,1978-07-01
3143,14 jun 1980,1980-06-14
3144,14 november 1997,1997-11-14
3145,saturday april 5 1980,1980-04-05
3146,20 april 1974,1974-04-20
3147,saturday march 28 1987,1987-03-28
3148,june 15 1976,1976-06-15
3149,sunday march 17 1996,1996-03-17
3150,19 mar 1980,1980-03-19
3151,september 28 1999,1999-09-28
3152,tuesday march 9 2004,2004-03-09
3153,tuesday february 18 1975,1975-02-18
3154,1 sep 1998,1998-09-01
3155,19 09 13,2013-09-19
3156,31 march 1984,1984-03-31
3157,monday july 27 1992,1992-07-27
3158,25 nov 2013,2013-11-25
3159,may 24 1987,1987-05-24
3160,5 september 2006,2006-09-05
3161,monday october 11 1971,1971-10-11
3162,saturday june 21 2003,2003-06-21
3163,1 december 1983,1983-12-01
3164,dec 7 1989,1989-12-07
3165,friday november 1 1985,1985-11-01
3166,friday december 4 1970,1970-12-04
3167,26 dec 2007,2007-12-26
3168,18 oct 1998,1998-10-18
3169,sep 4 2016,2016-09-04
3170,18 nov 1982,1982-11-18
3171,monday march 21 2011,2011-03-21
3172,thursday march 23 2000,2000-03-23
3173,january 14 1989,1989-01-14
3174,thursday july 31 1997,1997-07-31
3175,october 26 2001,2001-10-26
3176,10 nov 1974,1974-11-10
3177,thursday august 20 1998,1998-08-20
3178,apr 22 1997,1997-04-22
3179,8/28/73,1973-08-28
3180,thursday june 3 1999,1999-06-03
3181,21 march 1976,1976-03-21
3182,wednesday july 18 1984,1984-07-18
